Date,time,Flight_index,ATRsum
2018-07-03,0,58,4.830473188428381e-23
2018-07-03,0,59,2.8567322453713155e-23
2018-07-03,0,60,1.9620231951750984e-23
2018-07-03,0,61,3.261004965685692e-23
2018-07-03,0,62,2.129686004522639e-23
2018-07-03,0,63,4.513773963459293e-25
2018-07-03,0,64,4.599411575530838e-25
2018-07-03,0,65,5.031560545350881e-23
2018-07-03,0,66,4.861425867637582e-23
2018-07-03,0,67,3.8101022064575857e-23
2018-07-03,0,68,4.5418327033363673e-23
2018-07-03,0,69,1.806597240670821e-23
2018-07-03,0,70,1.0491438055415505e-23
2018-07-03,0,71,7.079814654880213e-24
2018-07-03,0,72,7.303411361824555e-23
2018-07-03,0,73,4.193074684487632e-25
2018-07-03,0,74,5.667220476545244e-23
2018-07-03,0,75,4.873278031325873e-23
2018-07-03,0,76,4.939239329649001e-25
2018-07-03,0,77,4.4065139500314213e-23
2018-07-03,0,78,6.111435727443659e-24
2018-07-03,0,79,4.848976729925838e-23
2018-07-03,0,80,3.190115034004238e-23
2018-07-03,0,81,5.399328275178638e-23
2018-07-03,0,82,4.473061382101865e-25
2018-07-03,0,83,9.620743793680994e-24
2018-07-03,0,84,7.430274305042252e-23
2018-07-03,0,85,4.919340756252912e-23
2018-07-03,0,86,5.392875533684278e-23
2018-07-03,0,87,1.5298109686543162e-23
2018-07-03,0,88,5.270878409789737e-24
2018-07-03,0,89,1.5738329562591078e-23
2018-07-03,0,90,4.253891632137292e-23
2018-07-03,0,91,3.403552718194897e-23
2018-07-03,0,92,2.9866748890223375e-23
2018-07-03,0,93,3.8368201252710657e-25
2018-07-03,0,94,3.88916763383088e-23
2018-07-03,0,95,3.331194446280297e-23
2018-07-03,0,96,1.3777034125438397e-23
2018-07-03,0,97,3.1337214591763976e-23
2018-07-03,0,98,3.802979372632451e-23
2018-07-03,0,99,7.033975839975828e-23
2018-07-04,0,0,2.7374398304116333e-25
2018-07-04,0,1,8.33668312055262e-24
2018-07-04,0,2,7.554641097341325e-23
2018-07-04,0,3,7.24712306668586e-23
2018-07-04,0,4,5.118907382621213e-23
2018-07-04,0,5,6.584942492021213e-23
2018-07-04,0,6,3.564029736579638e-23
2018-07-04,0,7,6.268827635644608e-23
2018-07-04,0,8,2.5490080107626706e-25
2018-07-04,0,9,5.537048252115696e-23
2018-07-04,0,10,1.0579301571202396e-22
2018-07-04,0,11,4.865980879567547e-23
2018-07-04,0,12,6.002835454543468e-23
2018-07-04,0,13,1.780047298999404e-23
2018-07-04,0,14,7.627969845248244e-23
2018-07-04,0,15,3.5006408923312164e-23
2018-07-04,0,16,6.100780733465407e-23
2018-07-04,0,17,2.9190325212982417e-23
2018-07-04,0,18,1.7072663806008582e-23
2018-07-04,0,19,9.97246341505578e-23
2018-07-04,0,20,5.365877841233108e-23
2018-07-04,0,21,7.03797053571482e-23
2018-07-04,0,22,8.416224179181155e-23
2018-07-04,0,23,5.757243193561732e-23
2018-07-04,0,24,2.4128814286031e-25
2018-07-04,0,25,5.879406507942944e-23
2018-07-04,0,26,2.092730748807106e-24
2018-07-04,0,27,8.563919797368935e-23
2018-07-04,0,28,2.880704805409759e-23
2018-07-04,0,29,7.338326183019354e-23
2018-07-04,0,30,6.446968776004392e-23
2018-07-04,0,31,1.7055312769931318e-23
2018-07-04,0,32,3.86585099684497e-23
2018-07-04,0,33,4.445825250562303e-25
2018-07-04,0,34,4.944535576724178e-23
2018-07-04,0,35,3.586061691647628e-23
2018-07-04,0,36,3.4505801873928083e-23
2018-07-04,0,37,2.4358256876950567e-25
2018-07-04,0,38,2.5448320015631654e-25
2018-07-04,0,39,1.2202480908658612e-23
2018-07-04,0,40,1.749695433633006e-23
2018-07-04,0,41,2.2728974592317482e-23
2018-07-04,0,42,1.07197587956868e-22
2018-07-04,0,43,3.714951308019658e-24
2018-07-04,0,44,3.204942730577336e-23
2018-07-04,0,45,4.827992830275414e-25
2018-07-04,0,46,7.742947491687239e-23
2018-07-04,0,47,4.0968065141407616e-25
2018-07-04,0,48,6.270904610356176e-23
2018-07-04,0,49,4.691536588413382e-23
2018-07-04,0,50,4.312341383794632e-25
2018-07-04,0,51,3.582791383569481e-23
2018-07-04,0,52,4.469697757388409e-23
2018-07-04,0,53,4.306570988641114e-23
2018-07-04,0,54,5.112034896830031e-25
2018-07-04,0,55,2.392087744475448e-23
2018-07-04,0,56,3.2583628513726466e-23
2018-07-04,0,57,7.191054377110541e-23
2018-07-04,0,58,1.5551094455323685e-23
2018-07-04,0,59,3.695036943173464e-23
2018-07-04,0,60,7.025445488214454e-23
2018-07-04,0,61,3.1730854970795963e-23
2018-07-04,0,62,6.275505620559003e-23
2018-07-04,0,63,4.377235215455645e-25
2018-07-04,0,64,4.257628594777757e-25
2018-07-04,0,65,3.501122192224296e-23
2018-07-04,0,66,5.762743184509451e-23
2018-07-04,0,67,5.801078600254096e-23
2018-07-04,0,68,4.668091607648814e-23
2018-07-04,0,69,4.854150523198346e-23
2018-07-04,0,70,6.071550944681424e-23
2018-07-04,0,71,5.261051850588322e-23
2018-07-04,0,72,3.769482274894428e-23
2018-07-04,0,73,5.112034896830025e-25
2018-07-04,0,74,3.833736014585176e-23
2018-07-04,0,75,2.4933781050214962e-23
2018-07-04,0,76,5.441296686165101e-25
2018-07-04,0,77,2.201615249532272e-23
2018-07-04,0,78,1.0869973124569518e-22
2018-07-04,0,79,5.682376016711645e-23
2018-07-04,0,80,2.0971599637278152e-23
2018-07-04,0,81,1.4208580371858534e-23
2018-07-04,0,82,4.324160478902336e-25
2018-07-04,0,83,4.440109341054528e-23
2018-07-04,0,84,3.3344336258864875e-23
2018-07-04,0,85,4.277240786855045e-23
2018-07-04,0,86,4.4828206013996414e-23
2018-07-04,0,87,5.766913658207842e-23
2018-07-04,0,88,5.931402657949981e-23
2018-07-04,0,89,4.501965861299316e-23
2018-07-04,0,90,6.508267627877509e-23
2018-07-04,0,91,1.847081079106495e-23
2018-07-04,0,92,8.391786712855176e-23
2018-07-04,0,93,3.5350566002625213e-25
2018-07-04,0,94,4.827433222049514e-23
2018-07-04,0,95,2.414310564612105e-23
2018-07-04,0,96,8.314339320957962e-23
2018-07-04,0,97,2.629887977411048e-23
2018-07-04,0,98,5.738487274440404e-23
2018-07-04,0,99,6.464324680866753e-23
2018-07-05,0,0,5.276932933053474e-25
2018-07-05,0,1,3.867539061698059e-23
2018-07-05,0,2,3.13052476922495e-23
2018-07-05,0,3,8.538784856423886e-23
2018-07-05,0,4,5.884332931749821e-23
2018-07-05,0,5,7.877780797395411e-23
2018-07-05,0,6,6.451237967221561e-23
2018-07-05,0,7,5.169664114391498e-23
2018-07-05,0,8,1.0165748071752316e-24
2018-07-05,0,9,2.706845638506922e-23
2018-07-05,0,10,4.483751552982904e-23
2018-07-05,0,11,2.768303111386804e-23
2018-07-05,0,12,1.622942100852212e-23
2018-07-05,0,13,3.531310280874678e-23
2018-07-05,0,14,6.393190833391075e-23
2018-07-05,0,15,2.888544838381896e-23
2018-07-05,0,16,6.897384056582131e-23
2018-07-05,0,17,1.733940836670259e-23
2018-07-05,0,18,3.598664296653918e-23
2018-07-05,0,19,4.389605021327247e-23
2018-07-05,0,20,3.557210255702308e-23
2018-07-05,0,21,8.400070645356647e-23
2018-07-05,0,22,2.9113100778861105e-23
2018-07-05,0,23,1.7494605964876697e-23
2018-07-05,0,24,2.484976101177657e-25
2018-07-05,0,25,1.9736463986841922e-23
2018-07-05,0,26,4.901341307473098e-23
2018-07-05,0,27,4.663538421524328e-23
2018-07-05,0,28,3.7714546947902905e-23
2018-07-05,0,29,1.0168134780685022e-22
2018-07-05,0,30,2.94748698283328e-23
2018-07-05,0,31,3.899217809732287e-23
2018-07-05,0,32,5.218069199004469e-23
2018-07-05,0,33,4.232550107015515e-25
2018-07-05,0,34,4.5950428313854304e-23
2018-07-05,0,35,2.2129554962027364e-23
2018-07-05,0,36,6.336704390854848e-23
2018-07-05,0,37,2.516504881868237e-25
2018-07-05,0,38,1.1003579916482087e-24
2018-07-05,0,39,2.2123295305244752e-23
2018-07-05,0,40,3.186393067443173e-23
2018-07-05,0,41,3.788169113203194e-23
2018-07-05,0,42,3.5509659868914114e-23
2018-07-05,0,43,6.069293989802325e-23
2018-07-05,0,44,3.54488388802855e-23
2018-07-05,0,45,6.005876659980488e-25
2018-07-05,0,46,9.444296739095232e-23
2018-07-05,0,47,4.1483638368419385e-25
2018-07-05,0,48,4.073049107854112e-23
2018-07-05,0,49,1.7047828466138037e-23
2018-07-05,0,50,4.3226855225846305e-25
2018-07-05,0,51,2.124122017393704e-23
2018-07-05,0,52,8.788624710446876e-23
2018-07-05,0,53,3.9224482265097074e-23
2018-07-05,0,54,6.967683028216789e-25
2018-07-05,0,55,4.282691979634076e-23
2018-07-05,0,56,1.0114780471427196e-23
2018-07-05,0,57,2.5695539407333392e-23
2018-07-05,0,58,2.8584363502972805e-23
2018-07-05,0,59,2.909165497469533e-23
2018-07-05,0,60,5.635059159843765e-23
2018-07-05,0,61,4.7590636303835817e-23
2018-07-05,0,62,2.1324304423696025e-23
2018-07-05,0,63,4.33722269904816e-25
2018-07-05,0,64,4.1573618384279745e-25
2018-07-05,0,65,1.9824638237949419e-23
2018-07-05,0,66,2.0962894834204464e-23
2018-07-05,0,67,3.9703819103629137e-23
2018-07-05,0,68,3.925337166556516e-23
2018-07-05,0,69,8.2383403109746e-23
2018-07-05,0,70,8.906012074538e-23
2018-07-05,0,71,7.327144219432646e-23
2018-07-05,0,72,6.364339156276995e-23
2018-07-05,0,73,6.935693341085103e-25
2018-07-05,0,74,1.1479670817014205e-23
2018-07-05,0,75,3.560268692193556e-23
2018-07-05,0,76,5.96914681559405e-25
2018-07-05,0,77,2.79689159101718e-23
2018-07-05,0,78,3.407072105492376e-23
2018-07-05,0,79,2.086326318506143e-23
2018-07-05,0,80,3.283937126245913e-23
2018-07-05,0,81,2.7937329701518475e-23
2018-07-05,0,82,4.233637533846737e-25
2018-07-05,0,83,6.509880060921717e-23
2018-07-05,0,84,7.164096400603574e-23
2018-07-05,0,85,3.0335229115890133e-23
2018-07-05,0,86,4.078080375607967e-23
2018-07-05,0,87,4.635107514571307e-23
